"","datetimeAK","Q.meters","depth.Meters"
"1",2021-05-18 00:00:00,152.344384,1.374648
"2",2021-05-18 00:15:00,153.477056,1.380744
"3",2021-05-18 00:30:00,152.91072,1.377696
"4",2021-05-18 00:45:00,154.043392,1.383792
"5",2021-05-18 01:00:00,154.043392,1.383792
"6",2021-05-18 01:15:00,153.477056,1.380744
"7",2021-05-18 01:30:00,154.043392,1.383792
"8",2021-05-18 01:45:00,154.892896,1.38684
"9",2021-05-18 02:00:00,154.892896,1.38684
"10",2021-05-18 02:15:00,154.892896,1.38684
"11",2021-05-18 02:30:00,152.91072,1.377696
"12",2021-05-18 02:45:00,153.477056,1.380744
"13",2021-05-18 03:00:00,153.477056,1.380744
"14",2021-05-18 03:15:00,154.043392,1.383792
"15",2021-05-18 03:30:00,153.477056,1.380744
"16",2021-05-18 03:45:00,152.344384,1.374648
"17",2021-05-18 04:00:00,152.91072,1.377696
"18",2021-05-18 04:15:00,152.91072,1.377696
"19",2021-05-18 04:30:00,152.91072,1.377696
"20",2021-05-18 04:45:00,152.344384,1.374648
"21",2021-05-18 05:00:00,153.477056,1.380744
"22",2021-05-18 05:15:00,152.344384,1.374648
"23",2021-05-18 05:30:00,152.344384,1.374648
"24",2021-05-18 05:45:00,151.778048,1.3716
"25",2021-05-18 06:00:00,151.211712,1.368552
"26",2021-05-18 06:15:00,151.211712,1.368552
"27",2021-05-18 06:30:00,151.211712,1.368552
"28",2021-05-18 06:45:00,150.07904,1.362456
"29",2021-05-18 07:00:00,150.07904,1.362456
"30",2021-05-18 07:15:00,150.07904,1.362456
"31",2021-05-18 07:30:00,148.946368,1.35636
"32",2021-05-18 07:45:00,149.512704,1.359408
"33",2021-05-18 08:00:00,147.813696,1.350264
"34",2021-05-18 08:15:00,147.813696,1.350264
"35",2021-05-18 08:30:00,147.813696,1.350264
"36",2021-05-18 08:45:00,147.813696,1.350264
"37",2021-05-18 09:00:00,148.380032,1.353312
"38",2021-05-18 09:15:00,147.24736,1.347216
"39",2021-05-18 09:30:00,147.24736,1.347216
"40",2021-05-18 09:45:00,146.114688,1.34112
"41",2021-05-18 10:00:00,145.548352,1.338072
"42",2021-05-18 10:15:00,146.114688,1.34112
"43",2021-05-18 10:30:00,144.982016,1.335024
"44",2021-05-18 10:45:00,144.41568,1.331976
"45",2021-05-18 11:00:00,145.548352,1.338072
"46",2021-05-18 11:15:00,144.41568,1.331976
"47",2021-05-18 11:30:00,144.982016,1.335024
"48",2021-05-18 11:45:00,144.41568,1.331976
"49",2021-05-18 12:00:00,144.982016,1.335024
"50",2021-05-18 12:15:00,144.41568,1.331976
"51",2021-05-18 12:30:00,142.716672,1.322832
"52",2021-05-18 12:45:00,143.849344,1.328928
"53",2021-05-18 13:00:00,142.716672,1.322832
"54",2021-05-18 13:15:00,143.283008,1.32588
"55",2021-05-18 13:30:00,143.283008,1.32588
"56",2021-05-18 13:45:00,143.849344,1.328928
"57",2021-05-18 14:00:00,143.849344,1.328928
"58",2021-05-18 14:15:00,143.849344,1.328928
"59",2021-05-18 14:30:00,143.283008,1.32588
"60",2021-05-18 14:45:00,145.548352,1.338072
"61",2021-05-18 15:00:00,143.849344,1.328928
"62",2021-05-18 15:15:00,143.283008,1.32588
"63",2021-05-18 15:30:00,143.849344,1.328928
"64",2021-05-18 15:45:00,144.41568,1.331976
"65",2021-05-18 16:00:00,144.41568,1.331976
"66",2021-05-18 16:15:00,143.849344,1.328928
"67",2021-05-18 16:30:00,144.41568,1.331976
"68",2021-05-18 16:45:00,144.41568,1.331976
"69",2021-05-18 17:00:00,144.982016,1.335024
"70",2021-05-18 17:15:00,146.114688,1.34112
"71",2021-05-18 17:30:00,144.982016,1.335024
"72",2021-05-18 17:45:00,145.548352,1.338072
"73",2021-05-18 18:00:00,147.24736,1.347216
"74",2021-05-18 18:15:00,145.548352,1.338072
"75",2021-05-18 18:30:00,145.548352,1.338072
"76",2021-05-18 18:45:00,144.982016,1.335024
"77",2021-05-18 19:00:00,146.681024,1.344168
"78",2021-05-18 19:15:00,147.24736,1.347216
"79",2021-05-18 19:30:00,147.24736,1.347216
"80",2021-05-18 19:45:00,147.813696,1.350264
"81",2021-05-18 20:00:00,147.24736,1.347216
"82",2021-05-18 20:15:00,147.813696,1.350264
"83",2021-05-18 20:30:00,147.813696,1.350264
"84",2021-05-18 20:45:00,148.380032,1.353312
"85",2021-05-18 21:00:00,147.24736,1.347216
"86",2021-05-18 21:15:00,148.380032,1.353312
"87",2021-05-18 21:30:00,148.380032,1.353312
